name of the product,pricing,rating,number of ratings,URL
Buddymate TB908 Mini Wireless Bluetooth Multifunction Touchpad Keyboard and Mouse with Lithium-Ion Battery Handheld Design for All Devices (Black),409,N.A,N.A.,www.amazon.in/Buddymate-Wireless-Bluetooth-Multifunction-Lithium-Ion/dp/B089NX9SKW?dchild=1
Live Tech KB 01 USB Wired Keyboard (Black),299,3.4,317,www.amazon.in/Live-Tech-Wired-Keyboard-Black/dp/B01FDY7JHO?dchild=1
"Oaky Keyboard Skin Protector Compatible with MacBook Pro 16 Inch 2019 Release Model A2141, Ultra Thin Soft Silicone Waterproof Dust-Proof Skin for MacBook Pro 16 Inch - Silicon Black",499,N.A,N.A.,www.amazon.in/Oaky-Protector-Compatible-Waterproof-Dust-Proof/dp/B089GM2Y96?dchild=1
Lenovo 300 Wired Keyboard and Mouse Combo (Black),999,4.4,"2,048",www.amazon.in/Lenovo-GX30M39649-MICE_BO-300-Combo/dp/B074XSWFXX?dchild=1
AmazonBasics Wired Keyboard and Wired Mouse Bundle Pack,999,4.2,"4,401",www.amazon.in/AmazonBasics-Wired-Keyboard-Mouse-Bundle/dp/B00B7GV802?dchild=1
Saco Chiclet Keyboard Skin For HP Pavilion x360 14-ba075TX 14-Inch Laptop - Transparent,373,4.3,244,www.amazon.in/Saco-Chiclet-Keyboard-Pavilion-14-ba075TX/dp/B077N3H29Y?dchild=1
Saco Keyboard Protector Silicone Skin Cover for Lenovo Saver R720 Y520 Y7000 Y7000P 15.6 Inch Notebook - (Transparent),373,4.3,11,www.amazon.in/Saco-Keyboard-Protector-Silicone-Notebook/dp/B07HMXYF39?dchild=1
Saco Chiclet Keyboard Skin for HP Notebook 15- bs146tu 15.6 inch Laptop  - Black with Clear,373,4.5,199,www.amazon.in/Saco-Chiclet-Keyboard-Notebook-bs146tu/dp/B078TFWQJ8?dchild=1
"Lenovo 100 Wireless Keyboard & Mouse Combo, GX30L66303","1,399",3.9,482,www.amazon.in/LENOVO-WIRELESS-COMBO-KEYBOARD-MOUSE/dp/B01N2ZWDUL?dchild=1
Redragon Karura K502 USB Gaming Keyboard,"1,399",4.1,"3,325",www.amazon.in/Redragon-Karura-K502-Gaming-Keyboard/dp/B00LSGKEC4?dchild=1
Saco Flexible Lightweight Support Comfort and Soft Wrist Cushion Recron Pillow for PC Laptop Desk Keyboard - Black,242,3.5,32,www.amazon.in/Saco-Flexible-Lightweight-Support-Keyboard/dp/B07L4T5MGD?dchild=1
Zebronics Zeb- DLK01 USB Multimedia Keyboard(Black),495,5.0,1,www.amazon.in/Zebronics-DLK01-Multimedia-Keyboard-Black/dp/B07RT67SC4?dchild=1
Saco Keyboard Silicon Protector for 15.6-inch Lenovo Ideapad 320-15ISK 80XH01DNIN (Black with Clear),373,4.4,241,www.amazon.in/Saco-Protector-15-6-inch-320-15ISK-80XH01DNIN/dp/B076F68MKL?dchild=1
Saco Universal Silicone Keyboard Protector Skin for HP Pavilion 15-p077TX Notebook - 15 inch,210,4.8,5,www.amazon.in/Saco-Keyboard-Pavilion-15-p077TX-Notebook/dp/B00OE4WWDG?dchild=1
Saco Keyboard Case for I KALL N9 (1+8GB) Dual Sim 3G Calling Tablet,520,N.A,N.A.,www.amazon.in/Saco-Keyboard-Case-Calling-Tablet/dp/B0769Y5ZT8?dchild=1
FEDUS Universal Silicone Keyboard Protector Cover Skin Dust Protector for All 15.6-inch Laptop,165,2.9,525,www.amazon.in/Generic-Laptop-Silicon-Keyboard-Guard/dp/B00ISVZPJY?dchild=1
"Amkette Primus Wireless Keyboard & Mouse Combo for PC, Laptop and Devices with USB Support, 2.4 Ghz Wireless Single Nano Receiver, 3 LED Indicator and Multimedia Keys (Black)",999,3.6,10,www.amazon.in/Amkette-Primus-Wireless-Indicator-Multimedia/dp/B084GQV1YP?dchild=1
Frontech Jil1672 Usb Keyboard (Black),N.A.,3.6,92,www.amazon.in/Frontech-Jil1672-Usb-Keyboard-Black/dp/B013WC1D62?dchild=1
Saco Chiclet Keyboard Skin Protector Cover for Lenovo IP 330S 14-inch FHD Laptop,373,5.0,1,www.amazon.in/Saco-Chiclet-Keyboard-Protector-14-inch/dp/B07ZFWPRFF?dchild=1
Zerbonics USB Keyboard ZEB-K25,334,3.0,1,www.amazon.in/Generic-Zerbonics-USB-Keyboard-ZEB-K25/dp/B07S77H88V?dchild=1
Zebronics Judwaa-580 Standard Keyboard and Mouse Combo (Black),540,2.9,17,www.amazon.in/Zebronics-Judwaa-580-Standard-Keyboard-Mouse/dp/B07NRXQ36V?dchild=1
"EvoFox (by Amkette) Fireblade Gaming Wired Keyboard with LED Backlit, 19 Anti-Ghosting Keys, and Windows Lock Key (TKL) (Black)",999,4.4,27,www.amazon.in/Amkette-Fireblade-Keyboard-Backlit-Anti-Ghosting/dp/B085366TJW?dchild=1
Havana Motor Club,N.A.,N.A,2016,www.amazon.in/gp/video/ssoredirect/?ru=https%3A%2F%2Fapp.primevideo.com%2Fdetail%3Fgti%3Damzn1.dv.gti.30b229ad-407c-0c8c-1dfb-8be0d1e6fbd6%26ref_%3Ddvm_src_ret_in_xx_s&page-type-id=B07QPGCW4K&keywords=keyboard&ref=sr_1_67&sr=8-67
Akar Hindi English Typing Sticker for Key Board Set of 2,100,N.A,N.A.,www.amazon.in/Hindi-English-Typing-Sticker-Board/dp/B08241RG9J?dchild=1
Chiptronex Kranos RGB Backlit Gaming Keyboard LED 104 Keys USB Ergonomic Wrist Rest Keyboard 10 Multimedia Keys 7 RGB Color Modes,999,4.2,6,www.amazon.in/Chiptronex-Backlit-Keyboard-Ergonomic-Multimedia/dp/B083SRS399?dchild=1
Targus AKB100 USB Wired Keyboard (Black),598,4.6,7,www.amazon.in/Targus-AKB100-KB100-USB-Keyboard/dp/B07FTVGQ1V?dchild=1
HP K300 Gaming Keyboard (4QM95AA),"1,444",4.2,17,www.amazon.in/HP-K300-Gaming-Keyboard-4QM95AA/dp/B08497X176?dchild=1
"BRIX R8 KM1901 Wired Keyboard and Mouse, Ultra Thin Full Size USB Wire Corded Keyboard Mouse Combo",499,3.1,10,www.amazon.in/BRIX-KM1901-Wired-Keyboard-Corded/dp/B081NL3QBC?dchild=1
Fedus Transparent Universal Silicone Keyboard Protector Cover Skin for All Type Laptop (Size 15.6 Inches),169,3.0,8,www.amazon.in/Transparent-Universal-Silicone-Keyboard-Protector/dp/B07TV7GWBY?dchild=1
Redgear Manta MT21 Gaming Keyboard and Gaming Mouse Combo (Black),"1,699",4.2,"1,611",www.amazon.in/Redgear-Manta-MT21-Gaming-Keyboard/dp/B074MDV56S?dchild=1
"Cosmic Byte CB-GK-02 Corona Wired Gaming Keyboard, 7 Color RGB Backlit with Effects, Anti-Ghosting (Black)","1,214",4.2,742,www.amazon.in/Cosmic-Byte-CB-GK-02-Keyboard-Anti-Ghosting/dp/B0764HS2X4?dchild=1
(Renewed) HP 100 Wired USB Keyboard,244,3.4,9,www.amazon.in/Renewed-100-%E0%A4%B5%E0%A4%BE%E0%A4%AF%E0%A4%B0%E0%A5%8D%E0%A4%A1-USB-%E0%A4%95%E0%A5%80%E0%A4%AC%E0%A5%8B%E0%A4%B0%E0%A5%8D%E0%A4%A1/dp/B07V3W9F1F?dchild=1
"Cosmic Byte CB-Gk-15 Triton Gaming Keyboard, Per Key RGB, 6 Macro Keys, Software (Black)","1,238",4.4,7,www.amazon.in/Cosmic-Byte-CB-Gk-15-Triton-Keyboard/dp/B0859LJXC2?dchild=1
HP K2500 Wireless Keyboard,"1,198",3.8,503,www.amazon.in/HP-K2500-Wireless-Keyboard-US/dp/B00FXWIQY2?dchild=1
Saco Keyboard Protector Silicone Skin Cover for Dell Inspiron 5570 Laptop -Black with Clear,373,4.0,60,www.amazon.in/Saco-Keyboard-Protector-Silicone-Inspiron/dp/B079JRG3W9?dchild=1
SSD Keyguard Protector For Lenovo Ideapad 100 80MH0081IN (14 inch) Laptop Keyboard Skin (Transparent),119,3.6,8,www.amazon.in/SSD-Keyguard-Protector-80MH0081IN-Transparent/dp/B074CYWKWK?dchild=1
